from_csv,header_name
Direct Democracy Party,Direct_Democracy
Workers Party,Workers_Party
New Zealand Family Rights Protection Party,NZ_Family_Rights_Protection_Party
Legalise Cannabis,Legalise_Cannabis
Internet MANA,Internet_Mana
Aotearoa Legalise Cannabis Party,ALCP
United Future New Zealand,United_Future
United Future,United_Future
Conservative,Conservative
Family Party,Family_Party
New Zealand Pacific Party,NZ_Pacific
Christian Heritage,Christian_Heritage
Outdoor Rec. NZ,Outdoor_Rec_NZ
National Party,National
99 MP Party,Nighty_Nine_MP_Party
The Civilian Party,Civilian_Party
The Republic of New Zealand Party,Republic_NZ_Party
Democrats for Social Credit,Social_Credit
Jim Anderton's Progressive,Progressive
ACT New Zealand,ACT
OneNZ Party,OneNZ_Party
Unnamed: 0,Suburb
Unnamed: 1,Voting_Place
Mana Maori,Mana
Focus New Zealand,Focus_NZ
Māori Party,Maori_Party
Progressive Coalition,Progressive_Coalition
Ban1080,Ban1080
RAM - Residents Action Movement,RAM
Destiny New Zealand,Destiny_NZ
Green Party,Green_Party
Informal Party Votes,Informal
NZ Independent Coalition,NZ_Independant
The Bill and Ben Party,Bill_and_Ben_Party
Labour Party,Labour
New Zealand First Party,NZ_First
Total Valid Party Votes,Valid
